17,10,8,6,9,20,15,12,,,22,4,18,13,5,18,17,12,8,8,11,11,7,8,10,5,3,13,9,8,15,,11,6,11,16,12,10,6,20,7,13,3,10,22,8,6,7,5,45,15,20,6,4,15,14,11,11,20,,8,8,11,12,9,11,9,18,7,8,32,31,29,20,9,5,7,8,12,56,,25,9,14,25,67,18,17,13,19,34,15,27,10,8,27,12,13,9,15,9,14,9,,24,4,23,10,19,8
17,10,8,6,9,20,16,12,,,22,4,18,13,7,18,17,12,8,8,11,11,7,8,10,5,3,13,9,8,15,,,6,11,16,13,10,6,20,7,13,4,10,22,8,7,7,5,46,15,20,6,4,15,14,11,11,21,,8,8,12,12,9,11,9,18,7,9,32,31,29,21,9,5,7,8,12,57,,25,9,14,25,68,18,17,13,19,35,15,27,10,8,27,12,14,9,15,9,14,9,,24,4,23,10,20,8
17,10,8,6,9,20,17,12,,,22,4,18,13,7,19,17,12,9,8,11,11,7,8,10,5,3,13,9,8,15,,,,11,22,13,10,6,20,7,13,4,10,23,8,7,7,5,46,16,20,6,5,15,14,11,11,21,,8,8,12,12,9,11,9,18,7,9,32,31,30,21,9,5,7,8,12,57,,26,9,14,25,68,18,17,13,19,41,16,28,10,8,27,12,14,9,15,9,14,9,,24,4,23,10,20,8
17,10,8,6,9,20,18,12,,,22,4,18,14,7,19,17,12,9,8,11,11,7,8,10,5,3,13,9,8,15,,,,11,22,14,10,6,20,7,13,4,10,25,8,8,7,5,46,16,20,6,5,15,14,11,11,21,,8,8,12,12,9,11,9,18,7,9,32,32,30,21,9,5,7,8,12,57,,26,9,14,27,72,18,17,14,19,41,17,28,10,8,27,12,14,9,15,9,14,9,,24,4,23,10,20,8
17,10,8,6,9,20,18,12,,,22,4,18,14,7,19,17,14,9,8,11,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,20,7,13,4,10,26,8,11,7,5,46,16,20,6,6,15,13,11,11,21,,8,8,12,14,9,11,10,18,7,9,32,32,32,21,9,5,7,9,12,57,,26,9,14,27,73,18,17,14,19,42,17,28,11,8,27,12,14,9,15,9,14,9,,24,4,23,10,20,8
17,10,8,6,9,20,18,12,,,22,4,18,14,7,19,17,14,10,8,11,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,20,7,13,4,10,26,8,11,7,5,47,16,20,6,6,15,13,11,11,21,,8,8,12,14,9,11,10,18,7,9,32,32,41,21,9,5,7,9,12,57,,26,9,14,27,74,18,17,14,19,42,17,28,11,8,27,12,14,9,15,9,14,9,,24,4,23,10,20,8
17,10,8,6,9,20,19,12,,,22,5,18,14,7,19,17,14,10,11,11,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,20,7,13,4,10,26,8,11,7,5,47,16,20,6,6,15,13,11,11,22,,8,8,12,14,9,11,10,18,8,9,32,32,41,21,9,5,7,9,12,57,,26,9,14,27,75,18,17,14,19,42,17,28,11,8,31,12,14,,15,9,14,9,,24,4,23,10,20,8
17,10,8,6,9,20,19,12,,,22,5,19,14,7,19,17,14,10,11,11,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,26,8,11,7,5,48,16,20,6,6,15,13,11,11,23,,8,8,12,14,9,11,10,18,8,9,32,,42,21,9,5,7,9,12,57,,26,9,14,27,75,18,17,14,19,42,19,28,11,8,31,12,14,,15,9,14,9,,24,4,23,10,20,8
17,10,8,6,9,20,19,12,,,22,5,19,15,7,19,17,14,10,11,11,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,26,8,12,7,6,48,16,20,6,6,15,13,11,11,23,,8,8,12,14,9,11,10,18,8,9,33,,42,21,9,5,7,9,12,57,,26,9,14,27,78,18,17,14,19,43,20,28,11,8,32,12,14,,15,9,14,9,,24,,23,10,20,8
17,10,8,6,9,20,19,12,,,22,5,19,15,7,19,17,14,10,11,11,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,27,8,12,7,6,48,16,20,6,6,15,13,11,11,23,,8,8,13,14,9,11,10,19,9,9,33,,42,21,9,5,7,9,12,57,,26,9,14,27,78,18,17,14,19,43,21,28,11,8,32,12,14,,15,9,15,9,,24,,23,10,20,8
17,10,8,6,9,20,19,12,,,22,5,19,15,7,19,19,14,10,11,11,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,27,8,12,7,6,48,16,20,6,6,15,13,11,11,24,,8,,13,14,9,11,10,19,9,9,33,,42,21,9,5,7,9,12,57,,26,9,14,27,78,18,17,14,19,43,22,28,11,8,32,12,14,,15,9,15,9,,24,,24,10,20,8
17,10,8,6,9,20,19,12,,,22,5,19,15,7,19,19,14,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,27,8,12,7,7,48,16,20,6,6,15,13,11,11,24,,8,,13,14,9,11,10,19,10,9,33,,42,21,9,5,7,9,12,57,,26,9,14,27,78,18,,14,19,43,22,28,11,8,32,12,14,,15,9,15,9,,24,,24,10,20,8
17,10,8,6,9,20,20,12,,,22,5,19,15,7,19,20,14,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,27,8,12,7,7,48,16,20,6,6,15,13,11,11,24,,8,,13,14,9,11,10,19,10,9,33,,42,21,9,5,7,9,12,57,,,9,14,27,79,,,14,19,43,22,28,11,8,32,12,14,,15,9,15,9,,24,,24,10,20,8
17,10,8,6,9,20,20,12,,,22,5,19,15,7,19,20,14,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,27,8,12,7,7,48,16,20,6,6,15,13,11,11,24,,8,,13,14,9,11,10,19,10,9,33,,42,21,9,6,7,9,12,57,,,9,14,27,79,,,14,19,43,22,28,11,8,32,12,14,,15,9,15,9,,24,,24,10,20,8
17,10,9,6,9,20,21,12,,,22,5,19,15,7,19,20,14,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,27,8,12,7,7,48,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,10,19,10,9,33,,42,21,9,6,7,9,12,57,,,9,14,27,80,,,14,19,43,22,28,11,8,32,12,14,,15,9,15,9,,24,,24,10,,8
